      #Energy        TDOS-UP        TDOS-DOWN
     -21.81329       0.00000       0.00000
     -21.80329       0.00000       0.00000
     -21.79229       0.00000       0.00000
     -21.78229       0.00000       0.00000
     -21.77129       0.00000       0.00000
     -21.76129       0.00000       0.00000
     -21.75129       0.00000       0.00000
     -21.74029       0.00000       0.00000
     -21.73029       0.00000       0.00000
     -21.71929       0.00000       0.00000
     -21.70929       0.00000       0.00000
     -21.69829       0.00000       0.00000
     -21.68829       0.00000       0.00000
     -21.67829       0.00000       0.00000
     -21.66729       0.00000       0.00000
     -21.65729       0.00000       0.00000
     -21.64629       0.00000       0.00000
     -21.63629       0.00000       0.00000
     -21.62629       0.00000       0.00000
     -21.61529       0.00000       0.00000
     -21.60529       0.00000       0.00000
     -21.59429       0.00000       0.00000
     -21.58429       0.00000       0.00000
     -21.57329       0.00000      -0.00000
     -21.56329       0.00000      -0.00000
     -21.55329       0.00000      -0.00000
     -21.54229       0.00000      -0.00000
     -21.53229       0.00000      -0.00000
     -21.52129       0.00000      -0.00000
     -21.51129       0.00000      -0.00000
     -21.50129       0.00000      -0.00000
     -21.49029       0.00000      -0.00000
     -21.48029       0.00000      -0.00000
     -21.46929       0.00000      -0.00000
     -21.45929       0.00000      -0.00000
     -21.44829       0.00000      -0.00001
     -21.43829       0.00000      -0.00006
     -21.42829       0.00000      -0.00022
     -21.41729       0.00000      -0.00077
     -21.40729       0.00000      -0.00244
     -21.39629       0.00000      -0.00712
     -21.38629       0.00001      -0.01909
     -21.37629       0.00003      -0.04712
     -21.36529       0.00011      -0.10710
     -21.35529       0.00040      -0.22440
     -21.34429       0.00133      -0.43420
     -21.33429       0.00408      -0.77700
     -21.32329       0.01151      -1.28900
     -21.31329       0.02984      -1.98600
     -21.30329       0.07123      -2.85600
     -21.29229       0.15670      -3.84800
     -21.28229       0.31790      -4.88300
     -21.27129       0.59550      -5.87400
     -21.26129       1.03200      -6.74900
     -21.25129       1.65700      -7.46200
     -21.24029       2.47100      -8.00200
     -21.23029       3.43600      -8.38800
     -21.21929       4.47300      -8.66200
     -21.20929       5.48500      -8.88400
     -21.19829       6.38000      -9.12500
     -21.18829       7.10200      -9.44900
     -21.17829       7.63800      -9.88600
     -21.16729       8.01200     -10.40000
     -21.15729       8.26800     -10.89000
     -21.14629       8.45700     -11.18000
     -21.13629       8.63500     -11.11000
     -21.12629       8.86000     -10.58000
     -21.11529       9.18400      -9.57500
     -21.10529       9.62900      -8.20500
     -21.09429      10.15000      -6.63600
     -21.08429      10.64000      -5.05400
     -21.07329      10.93000      -3.61800
     -21.06329      10.85000      -2.43000
     -21.05329      10.30000      -1.52900
     -21.04229       9.29900      -0.90280
     -21.03229       7.93500      -0.50870
     -21.02129       6.38200      -0.29570
     -21.01129       4.82700      -0.22220
     -21.00029       3.42600      -0.26630
     -20.99029       2.27700      -0.42590
     -20.98029       1.41400      -0.71110
     -20.96929       0.81870      -1.13100
     -20.95929       0.44150      -1.68200
     -20.94829       0.22280      -2.34100
     -20.93829       0.10940      -3.07200
     -20.92829       0.06343      -3.84700
     -20.91729       0.06520      -4.65600
     -20.90729       0.11290      -5.51300
     -20.89629       0.22000      -6.43900
     -20.88629       0.41040      -7.43400
     -20.87529       0.71060      -8.46700
     -20.86529       1.13900      -9.48300
     -20.85529       1.69700     -10.43000
     -20.84429       2.36300     -11.29000
     -20.83429       3.10300     -12.04000
     -20.82329       3.89100     -12.67000
     -20.81329       4.71900     -13.10000
     -20.80329       5.60300     -13.22000
     -20.79229       6.56500     -12.88000
     -20.78229       7.61000     -11.99000
     -20.77129       8.70900     -10.58000
     -20.76129       9.80600      -8.79500
     -20.75029      10.84000      -6.88400
     -20.74029      11.77000      -5.11000
     -20.73029      12.55000      -3.69600
     -20.71929      13.14000      -2.78900
     -20.70929      13.46000      -2.45200
     -20.69829      13.38000      -2.69100
     -20.68829      12.81000      -3.47500
     -20.67829      11.70000      -4.76100
     -20.66729      10.13000      -6.50000
     -20.65729       8.27900      -8.62300
     -20.64629       6.41500     -11.02000
     -20.63629       4.79700     -13.52000
     -20.62529       3.63900     -15.84000
     -20.61529       3.07600     -17.67000
     -20.60529       3.16300     -18.71000
     -20.59429       3.89300     -18.76000
     -20.58429       5.21600     -17.87000
     -20.57329       7.04500     -16.31000
     -20.56329       9.26000     -14.58000
     -20.55329      11.70000     -13.19000
     -20.54229      14.13000     -12.62000
     -20.53229      16.28000     -13.10000
     -20.52129      17.83000     -14.60000
     -20.51129      18.52000     -16.88000
     -20.50029      18.19000     -19.58000
     -20.49029      16.91000     -22.33000
     -20.48029      14.94000     -24.87000
     -20.46929      12.75000     -27.01000
     -20.45929      10.87000     -28.62000
     -20.44829       9.76600     -29.60000
     -20.43829       9.73800     -29.79000
     -20.42829      10.86000     -29.02000
     -20.41729      12.99000     -27.17000
     -20.40729      15.80000     -24.29000
     -20.39629      18.91000     -20.61000
     -20.38629      21.96000     -16.50000
     -20.37529      24.68000     -12.41000
     -20.36529      26.92000      -8.73800
     -20.35529      28.57000      -5.74500
     -20.34429      29.56000      -3.51800
     -20.33429      29.74000      -2.00200
     -20.32329      28.99000      -1.05700
     -20.31329      27.20000      -0.51720
     -20.30329      24.42000      -0.23410
